licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad,municipio_poligono,municipio_coincide
HB-003924,hotel_at,Barcelona,"Ronda Sant Antoni 61, Barcelona",41.38465103,2.16371175,,True,True,Barcelona,True
HB-003049,hotel_at,Barcelona,"Carrer Hospital 36, Barcelona",41.38089431,2.17160827,,True,True,Barcelona,True
HB-002282,hotel_at,Barcelona,"Carrer Lleona 8, Barcelona",41.38096628,2.17608165,,True,True,Barcelona,True
HB-004126,hotel_at,Barcelona,"Carrer Girona 24, Barcelona",41.39190984,2.17517259,,True,True,Barcelona,True
HB-004355,hotel_at,Barcelona,"Passeig Sant Joan 1, Barcelona",41.39177098,2.17923545,,True,True,Barcelona,True
HB-004292,hotel_at,Barcelona,"Carrer Roger de Lluria 47, Barcelona",41.39291014,2.16896321,,True,True,Barcelona,True
HB-001705,hotel_at,Barcelona,"Carrer Junta del Comerç 13, Barcelona",41.37992219,2.17146078,,True,True,Barcelona,True
HB-004255,hotel_at,Barcelona,"Carrer Tarragona 177, Barcelona",41.37966677,2.1430828,,True,True,Barcelona,True
HB-001690,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 576, Barcelona",41.38433247,2.16193662,,True,True,Barcelona,True
HB-001678,hotel_at,Barcelona,"Carrer Rambla 37, Barcelona",41.37778256,2.17298709,,True,True,Barcelona,True
HB-004264,hotel_at,Barcelona,"Carrer Mallorca 253, Barcelona",41.39330502,2.16166969,,True,True,Barcelona,True
HB-001665,hotel_at,Barcelona,"Carrer Ausias Marc 19, Barcelona",41.39080402,2.17470887,,True,True,Barcelona,True
HB-001620,hotel_at,Barcelona,"Carrer Comerç 33, Barcelona",41.38470818,2.18469377,,True,True,Barcelona,True
HB-001619,hotel_at,Barcelona,"Carrer Rambla 133, Barcelona",41.37321597,2.16832506,,True,True,Barcelona,True
HB-001579,hotel_at,Barcelona,"Avinguda del Portal de l'Àngel 14, Barcelona",41.38539309,2.17351036,,True,True,Barcelona,True
HB-001278,hotel_at,Barcelona,"Carrer Cervantes 2, Barcelona",41.38107387,2.17740529,,True,True,Barcelona,True
HB-004285,hotel_at,Barcelona,"Carrer Gran de Gràcia 14, Barcelona",41.39829104,2.15744484,,True,True,Barcelona,True
HB-004288,hotel_at,Barcelona,"Carrer Saragossa 95, Barcelona",41.40370126,2.14662564,,True,True,Barcelona,True
